text,created_at,id_str,retweet_count,favorite_count,in_reply_to_screen_name,geo,source,language,followers_count,id,name_at_tweet_time,screen_name,user_location,user_created_at,search_term_group,search_term
"O HBO Max adicionou uma aba para animes no Brasil.

#geekrock #hbo #hbomax #animes #otakus #otomes #onepiece… https://t.co/i2Kn1050s6",2021-10-16 13:45:02,1449370805708771334,0,2,,,mLabs - Gestão de Redes Sociais,pt,75,1096445810362015750,Geek Rock,geekrockoficial,São Paulo,Fri Feb 15 16:27:06 +0000 2019,hbomax,hbo max
não tem como deixar o HBO Max funcionando mesmo sem estar no app???? toda vez que eu mudo de app no celular e fica… https://t.co/culkkuto20,2021-10-16 13:40:53,1449369760463040521,0,0,,,Twitter for Android,pt,402,971159036749139971,father is,lupaiers,"São Paulo, Brasil",Tue Mar 06 23:02:12 +0000 2018,hbomax,hbo max
"Quarta hj? VEREMOS…
A capa da HBO Max estar com o poster da 4ª e não da 3ª me fez criar expectativas https://t.co/xCl1JzWlpi",2021-10-16 13:19:57,1449364490357719040,0,0,,,Twitter for iPhone,pt,218,576357740,Rafa Peter 100% 🐊,barrapeter00,"São Paulo, Brasil",Thu May 10 16:12:32 +0000 2012,hbomax,hbo max
Falha técnica da HBO Max altera imagem e som de série de Bruno Barreto e de produções argentinas https://t.co/0sDtyiv8tz,2021-10-16 13:12:03,1449362502266064896,3,21,,,Folha com welcome-app 1.0,pt,8022138,14594813,Folha de S.Paulo,folha,"São Paulo, Brazil",Wed Apr 30 02:33:39 +0000 2008,hbomax,hbo max
"O produtor e roteirista Marco Pennette largou a comédia após o final da primeira temporada

https://t.co/nL2ykHyGy0",2021-10-16 12:58:01,1449358974399156231,0,0,,,Observatório de Séries,pt,111,1033826954745729025,Observatório de Séries,obsdeseries,"São Paulo, Brasil",Sun Aug 26 21:22:08 +0000 2018,hbomax,hbo max
@Joaolimiro2 @LittleLiarsOn Mais também os roteiristas estão focados no Reboot com HBO Max,2021-10-16 12:53:12,1449357758755659776,0,0,Joaolimiro2,,Twitter for Android,pt,8,1120478595456143365,Mikauã Feitosa,MikauaF,"São Paulo, Brasil",Tue Apr 23 00:04:49 +0000 2019,hbomax,hbo max
"Ben Affleck, Michael Keaton ou Robert Pattinson? 

Filme solo da Batgirl vai apresentar o ""verdadeiro"" Batman do DC… https://t.co/Svj74E925M",2021-10-16 12:41:50,1449354898429120519,0,8,,,Twitter for Android,pt,857,3427447198,Point Nerd 2.0,Pointnerd_20,"São Paulo, Brasil",Mon Aug 17 05:04:59 +0000 2015,hbomax,hbo max
FINALMENTE HBO MAX LIBEROU PLL FINALMENTE PORRAAAAAAAA,2021-10-16 11:48:18,1449341426718945281,0,0,,,Twitter for iPhone,pt,576,121859677,tai,_avelarr,São Paulo,Wed Mar 10 20:50:20 +0000 2010,hbomax,hbo max
"@DiasqueSP @JorgeNobreJota @SaoPauloFC @RokuBrasil Depende. A minha é smart, mas não tem loja de aplicativo com nad… https://t.co/CWDBLt1Nzb",2021-10-16 11:27:50,1449336276423938048,0,0,DiasqueSP,,Twitter for Android,pt,349,228704762,luan liziero sara nestor e igor gomes,odiloonjr,"São Paulo, Brasil",Mon Dec 20 12:57:39 +0000 2010,hbomax,hbo max
"Deslizes da série filhote contradizem histórias contadas na comédia nerd consagrada

https://t.co/p9QDITPRt5",2021-10-16 11:02:15,1449329839043973125,0,0,,,Observatório de Séries,pt,111,1033826954745729025,Observatório de Séries,obsdeseries,"São Paulo, Brasil",Sun Aug 26 21:22:08 +0000 2018,hbomax,hbo max
"@katiathinks Aqui no Brasil a HBO Max é uma das mais baratas depois da Amazon Prime.
Acho que eles vão manter isso mundial.",2021-10-16 10:50:27,1449326867828428801,0,1,katiathinks,,Twitter for Android,pt,573,119838931,Lumena~🐺🍺 🍒🍓,_sweetbear,"São Paulo, Brasil",Thu Mar 04 20:05:08 +0000 2010,hbomax,hbo max
"Olha só o HBO Max finalmente tá ""baixável"" no PS4
Parabéns só demorou 4 meses pra fazer oq o star plus deve ter fei… https://t.co/M8bj2UXk1Z",2021-10-16 07:02:03,1449269392097914883,0,0,,,Twitter for Android,pt,4,1244651803662266368,Alyson,Alyson2002__,"Suzano, SP",Mon Mar 30 15:44:56 +0000 2020,hbomax,hbo max
